id,date,people_vaccinated_per_hundred,country,closing_price
34,13/12/2020,0.13,United Kingdom,656.8
35,14/12/2020,0,United Kingdom,656.8
36,15/12/2020,0,United Kingdom,"6,513.30"
37,16/12/2020,0,United Kingdom,"6,570.90"
38,17/12/2020,0,United Kingdom,"6,551.10"
39,18/12/2020,0,United Kingdom,"6,529.20"
40,19/12/2020,0,United Kingdom,"6,529.20"
41,20/12/2020,0.99,United Kingdom,"6,529.20"
42,21/12/2020,0,United Kingdom,"6,416.30"
43,22/12/2020,0,United Kingdom,"6,416.30"
44,23/12/2020,0,United Kingdom,"6,495.80"
45,24/12/2020,0,United Kingdom,"6,502.10"
46,25/12/2020,0,United Kingdom,"6,502.10"
47,26/12/2020,0,United Kingdom,"6,502.10"
48,27/12/2020,1.48,United Kingdom,"6,502.10"
49,28/12/2020,0,United Kingdom,"6,502.10"
50,29/12/2020,0,United Kingdom,"6,602.70"
51,30/12/2020,0,United Kingdom,"6,555.80"
52,31/12/2020,0,United Kingdom,"6,460.50"
53,01/01/2021,0,United Kingdom,"6,460.50"
54,02/01/2021,0,United Kingdom,"6,460.50"
55,03/01/2021,2.03,United Kingdom,"6,460.50"
56,04/01/2021,0,United Kingdom,"6,571.90"
57,05/01/2021,0,United Kingdom,"6,612.30"
58,06/01/2021,0,United Kingdom,"6,841.90"
59,07/01/2021,0,United Kingdom,"6,854.00"
60,08/01/2021,0,United Kingdom,"6,873.30"
61,09/01/2021,0,United Kingdom,"6,873.30"
62,10/01/2021,3.37,United Kingdom,"6,873.30"
63,11/01/2021,3.58,United Kingdom,"6,798.50"
64,12/01/2021,3.89,United Kingdom,"6,754.10"
65,13/01/2021,4.3,United Kingdom,"6,745.50"
66,14/01/2021,4.77,United Kingdom,"6,802.00"
67,15/01/2021,5.27,United Kingdom,"6,735.70"
68,16/01/2021,5.7,United Kingdom,"6,735.70"
69,17/01/2021,5.98,United Kingdom,"6,735.70"
70,18/01/2021,6.28,United Kingdom,"6,720.70"
71,19/01/2021,6.79,United Kingdom,"6,713.00"
72,20/01/2021,7.33,United Kingdom,"6,740.40"
73,21/01/2021,7.93,United Kingdom,"6,715.40"
74,22/01/2021,8.63,United Kingdom,"6,695.10"
75,23/01/2021,9.36,United Kingdom,"6,695.10"
76,24/01/2021,9.68,United Kingdom,"6,695.10"
77,25/01/2021,10.1,United Kingdom,"6,638.90"
78,26/01/2021,10.55,United Kingdom,"6,654.00"
79,27/01/2021,11.01,United Kingdom,"6,567.40"
80,28/01/2021,11.62,United Kingdom,"6,526.20"
81,29/01/2021,12.34,United Kingdom,"6,407.50"
82,30/01/2021,13.22,United Kingdom,"6,407.50"
83,31/01/2021,13.69,United Kingdom,"6,407.50"
84,01/02/2021,14.21,United Kingdom,"6,466.40"
85,02/02/2021,14.76,United Kingdom,"6,516.70"
86,03/02/2021,15.45,United Kingdom,"6,507.80"
87,04/02/2021,16.16,United Kingdom,"6,508.70"
88,05/02/2021,16.89,United Kingdom,"6,489.30"
89,06/02/2021,17.7,United Kingdom,"6,489.30"
90,07/02/2021,18.11,United Kingdom,"6,489.30"
91,08/02/2021,18.63,United Kingdom,"6,523.30"
92,09/02/2021,19.24,United Kingdom,"6,531.60"
93,10/02/2021,19.9,United Kingdom,"6,524.40"
94,11/02/2021,20.64,United Kingdom,"6,528.70"
95,12/02/2021,21.44,United Kingdom,"6,589.80"
96,13/02/2021,22.19,United Kingdom,"6,589.80"
97,14/02/2021,22.54,United Kingdom,"6,589.80"
98,15/02/2021,22.94,United Kingdom,"6,756.10"
99,16/02/2021,23.48,United Kingdom,"6,748.90"
100,17/02/2021,24.19,United Kingdom,"6,710.90"
101,18/02/2021,24.86,United Kingdom,"6,617.20"
102,19/02/2021,25.41,United Kingdom,"6,624.00"
103,20/02/2021,25.9,United Kingdom,"6,624.00"
104,21/02/2021,26.11,United Kingdom,"6,624.00"
105,22/02/2021,26.39,United Kingdom,"6,612.20"
106,23/02/2021,26.87,United Kingdom,"6,625.90"
107,24/02/2021,27.53,United Kingdom,"6,659.00"
108,25/02/2021,28.25,United Kingdom,"6,652.00"
109,26/02/2021,28.99,United Kingdom,"6,483.40"
110,27/02/2021,29.59,United Kingdom,"6,483.40"
111,28/02/2021,29.87,United Kingdom,"6,483.40"
112,01/03/2021,30.17,United Kingdom,"6,588.50"
113,02/03/2021,30.5,United Kingdom,"6,613.80"
114,03/03/2021,30.91,United Kingdom,"6,675.50"
115,04/03/2021,31.46,United Kingdom,"6,650.90"
116,05/03/2021,32.11,United Kingdom,"6,630.50"
117,06/03/2021,32.72,United Kingdom,"6,630.50"
118,07/03/2021,32.96,United Kingdom,"6,630.50"
119,08/03/2021,33.28,United Kingdom,"6,719.10"
120,09/03/2021,33.6,United Kingdom,"6,730.30"
121,10/03/2021,33.96,United Kingdom,"6,725.60"
122,11/03/2021,34.34,United Kingdom,"6,737.00"
123,12/03/2021,34.89,United Kingdom,"6,761.50"
124,13/03/2021,35.64,United Kingdom,"6,761.50"
125,14/03/2021,36.02,United Kingdom,"6,761.50"
126,15/03/2021,36.59,United Kingdom,"6,749.70"
127,16/03/2021,37.23,United Kingdom,"6,803.60"
128,17/03/2021,37.91,United Kingdom,"6,760.70"
129,18/03/2021,38.69,United Kingdom,"6,779.70"
